type 0,type 1,type 2,type 3,type 4,type 5,type 6,type 7,type 8,type 9,type 10,type 11,type 12,type 13,type 14,type 15,type 16,type 17,type 18,type 19,type 20,type 21,type 22,type 23,type 24,type 25,type 26,type 27,type 28,type 29,type 30,type 31,type 32,type 33,type 34,type 35,type 36,type 37,type 38,type 39,type 40,type 41,type 42,type 43,type 44,type 45,type 46,type 47,type 48,type 49,type 50,type 51,type 52,type 53,type 54,type 55,type 56,type 57,type 58,type 59,type 60,type 61,type 62,type 63,type 64,type 65,type 66,type 67,type 68,type 69,type 70,type 71,type 72,type 73,type 74,type 75,type 76,type 77,type 78
  9,  48,  20,  7,  5,  49,  15,  2,  24,  117,  18,  18,  7,  25,  25, 61, 31, 54, 45, 42, 51, 6, 13, 22, 15, 129, 54, 11, 24, 21, 18, 13, 6, 12, 10, 16, 9, 10, 7, 12, 13, 7, 5, 14, 8, 6, 12, 7, 7, 10, 6, 7, 9, 12, 6, 13, 5, 5, 7, 6, 6, 15, 21, 16, 9, 9, 17, 12, 17, 8, 13, 15, 14, 11, 19, 13, 13, 26, 9
  8,  43,  25,  9,  10,  38,  15,  12,  8,  147,  19,  19,  15,  17,  19, 60, 30, 52, 44, 52, 55, 6, 13, 23, 14, 152, 57, 11, 26, 16, 13, 17, 8, 10, 8, 18, 12, 10, 7, 11, 12, 7, 7, 11, 6, 11, 7, 7, 10, 10, 8, 10, 9, 11, 11, 11, 5, 9, 10, 6, 9, 18, 18, 14, 10, 10, 18, 14, 22, 11, 12, 14, 13, 12, 17, 12, 15, 17, 13
  14,  27,  10,  4,  3,  39,  5,  3,  37,  215,  5,  5,  5,  26,  17, 60, 34, 48, 47, 43, 68, 9, 13, 24, 15, 106, 60, 8, 24, 17, 10, 15, 12, 18, 8, 13, 11, 11, 9, 11, 13, 4, 7, 20, 6, 8, 5, 4, 10, 11, 11, 11, 11, 9, 9, 6, 9, 12, 10, 10, 11, 21, 17, 14, 12, 12, 14, 13, 23, 13, 8, 17, 12, 12, 23, 12, 16, 9, 12
  35,  25,  26,  4,  6,  70,  4,  3,  27,  169,  10,  10,  18,  16,  15, 62, 40, 58, 65, 38, 65, 10, 11, 46, 16, 140, 61, 5, 19, 19, 9, 16, 11, 18, 8, 10, 10, 10, 13, 10, 15, 6, 10, 18, 5, 6, 5, 9, 12, 7, 11, 11, 12, 10, 8, 4, 9, 11, 12, 11, 11, 15, 18, 15, 17, 17, 15, 13, 24, 17, 10, 12, 9, 20, 21, 10, 14, 14, 12
  73,  46,  24,  6,  6,  36,  5,  3,  23,  207,  16,  16,  9,  27,  6, 54, 41, 61, 56, 44, 60, 13, 9, 51, 15, 119, 61, 5, 15, 25, 8, 13, 11, 22, 11, 10, 5, 10, 15, 9, 11, 9, 9, 19, 4, 6, 5, 14, 12, 7, 9, 10, 10, 8, 4, 7, 8, 7, 8, 15, 7, 11, 25, 22, 20, 20, 18, 11, 20, 15, 12, 17, 9, 24, 20, 9, 13, 16, 12
  69,  18,  25,  2,  21,  20,  6,  2,  17,  231,  5,  5,  8,  16,  6, 48, 41, 61, 42, 41, 47, 15, 9, 34, 14, 212, 59, 7, 14, 27, 12, 9, 13, 16, 9, 8, 10, 6, 13, 8, 10, 10, 9, 13, 4, 10, 4, 15, 12, 6, 7, 6, 10, 7, 10, 8, 4, 4, 7, 12, 6, 12, 30, 24, 19, 19, 17, 17, 18, 11, 19, 18, 9, 19, 15, 10, 18, 13, 14
  121,  23,  25,  6,  10,  31,  5,  2,  31,  215,  11,  11,  6,  16,  24, 48, 43, 54, 39, 38, 41, 16, 11, 30, 24, 232, 56, 9, 10, 24, 15, 8, 15, 18, 8, 9, 10, 13, 11, 7, 8, 9, 10, 10, 6, 12, 4, 12, 10, 7, 5, 7, 9, 5, 9, 10, 5, 6, 4, 10, 6, 14, 31, 22, 19, 19, 17, 18, 18, 13, 18, 18, 11, 10, 15, 12, 15, 15, 14
  130,  24,  23,  4,  27,  95,  9,  5,  4,  248,  12,  12,  18,  24,  26, 51, 45, 59, 46, 60, 41, 15, 10, 30, 27, 156, 51, 11, 16, 17, 18, 10, 16, 12, 8, 12, 10, 10, 8, 13, 7, 8, 14, 13, 8, 11, 9, 8, 5, 4, 6, 8, 11, 6, 9, 11, 5, 7, 6, 8, 8, 18, 24, 21, 23, 23, 16, 17, 17, 16, 17, 12, 14, 6, 16, 14, 14, 13, 11
  73,  29,  28,  8,  59,  23,  13,  2,  39,  179,  21,  21,  15,  18,  21, 48, 41, 56, 56, 65, 53, 14, 10, 30, 34, 190, 48, 10, 10, 19, 15, 8, 10, 10, 7, 12, 8, 11, 9, 12, 8, 8, 13, 16, 7, 9, 11, 4, 7, 7, 6, 8, 14, 7, 4, 12, 7, 9, 8, 9, 5, 19, 28, 17, 21, 21, 19, 13, 12, 19, 14, 10, 17, 7, 22, 13, 7, 16, 11
  66,  37,  17,  2,  74,  33,  32,  1,  8,  249,  29,  29,  6,  21,  21, 51, 41, 51, 55, 63, 56, 15, 7, 30, 25, 193, 53, 12, 16, 29, 17, 12, 9, 7, 12, 13, 9, 14, 9, 12, 7, 10, 8, 15, 6, 11, 12, 10, 9, 7, 5, 9, 17, 6, 7, 8, 6, 11, 7, 9, 6, 28, 24, 19, 25, 25, 19, 13, 15, 15, 18, 12, 13, 9, 18, 13, 9, 14, 18
  71,  16,  22,  7,  38,  29,  16,  1,  7,  219,  13,  13,  14,  19,  34, 56, 47, 54, 61, 59, 53, 14, 7, 43, 19, 105, 54, 8, 14, 29, 13, 11, 8, 8, 12, 10, 10, 20, 11, 6, 4, 8, 6, 12, 8, 11, 15, 9, 12, 7, 3, 6, 14, 10, 7, 11, 6, 12, 7, 7, 8, 31, 22, 15, 21, 21, 19, 13, 12, 13, 17, 16, 10, 8, 21, 14, 11, 20, 18
  69,  11,  10,  23,  48,  55,  6,  2,  17,  214,  50,  50,  4,  18,  42, 60, 46, 62, 66, 49, 57, 13, 9, 49, 14, 130, 53, 9, 24, 17, 15, 14, 10, 8, 16, 13, 9, 16, 11, 13, 4, 13, 7, 6, 11, 8, 14, 10, 9, 5, 7, 11, 11, 12, 6, 10, 3, 11, 8, 5, 10, 36, 11, 13, 21, 21, 19, 22, 10, 13, 15, 12, 6, 7, 16, 17, 14, 20, 17
  133,  61,  9,  4,  35,  31,  18,  4,  7,  236,  21,  21,  2,  16,  24, 58, 46, 60, 51, 51, 60, 14, 10, 45, 14, 143, 63, 6, 22, 11, 10, 9, 10, 10, 14, 14, 13, 11, 8, 13, 4, 15, 5, 10, 14, 6, 13, 5, 6, 4, 10, 9, 6, 15, 5, 9, 5, 10, 10, 6, 10, 40, 11, 14, 21, 21, 20, 25, 8, 19, 10, 10, 8, 7, 16, 15, 15, 21, 10
